Date,Kbrevis,S79.Q,S79.TN,S79.TP,S77.TN
10/18/2016,1.93416611,1392.623663,-0.00281327,-0.03186177,-0.25243155
11/1/2016,2.30145261,742.5629412,-0.04986349,-0.03916708,-0.25618625
11/15/2016,2.51315082,106.5411351,-0.09730505,-0.04494343,-0.24141038
11/29/2016,2.56663149,-464.5173112,-0.1397536,-0.04926888,-0.21656524
12/13/2016,2.48437713,-935.8759535,-0.17301105,-0.0523006,-0.19129842
12/27/2016,2.30738314,-1292.515924,-0.19489699,-0.05415115,-0.1753382
1/10/2017,2.08505895,-1536.949022,-0.2053789,-0.054778,-0.17548507
1/24/2017,1.86232269,-1685.914984,-0.20609651,-0.05391283,-0.19209451
2/7/2017,1.66954949,-1764.195026,-0.19947812,-0.05107245,-0.21753728
2/21/2017,1.51759735,-1797.159037,-0.18791052,-0.04566398,-0.2390562
3/7/2017,1.39563828,-1804.414171,-0.17293303,-0.03722854,-0.24144525
3/21/2017,1.27527692,-1794.558234,-0.15527475,-0.02545826,-0.21161402
4/4/2017,1.11705877,-1763.441272,-0.13514849,-0.01050326,-0.13963891
4/18/2017,0.88382988,-1694.071943,-0.11269753,0.00702477,-0.02350201
5/2/2017,0.5517149,-1556.198197,-0.08851722,0.02604342,0.12948898
5/16/2017,0.11818211,-1314.719287,-0.06368795,0.04516095,0.30264309
5/30/2017,-0.39249462,-937.1227705,-0.0393003,0.06281952,0.47272195
6/13/2017,-0.93258555,-401.9492529,-0.01586965,0.0775284,0.61694934
6/27/2017,-1.43683885,297.2696161,0.00707718,0.08806995,0.71366405
7/11/2017,-1.83184867,1148.424625,0.0309971,0.09384981,0.74667383
7/25/2017,-2.0521888,2112.058885,0.05751161,0.09487601,0.71109141
8/8/2017,-2.05161409,3124.106933,0.08741213,0.09171741,0.61551028
8/22/2017,-1.81289819,4101.773364,0.11987757,0.08531629,0.47757609
9/5/2017,-1.35310941,4951.963179,0.15245976,0.07680342,0.31894748
9/19/2017,-0.72126772,5574.324478,0.18120945,0.06728822,0.16352226
10/3/2017,0.00919985,5893.076409,0.20158173,0.05765876,0.03117918
10/17/2017,0.75329861,5858.87531,0.20968253,0.04870353,-0.06450197
10/31/2017,1.43014924,5463.210694,0.20347307,0.04079454,-0.11899218
11/14/2017,1.97249625,4735.195024,0.18312974,0.0338827,-0.13865034
11/28/2017,2.34079397,3745.459129,0.15117202,0.02765885,-0.13346865
12/12/2017,2.52871982,2589.421741,0.11142198,0.02169583,-0.11679728
12/26/2017,2.56020718,1380.081956,0.06813214,0.0156533,-0.10169297
1/9/2018,2.48211105,232.7984789,0.02525281,0.00942122,-0.09731643
1/23/2018,2.35452999,-748.107251,-0.01389085,0.00320937,-0.10679092
2/6/2018,2.23657464,-1481.836481,-0.04636116,-0.00243872,-0.1249284
2/20/2018,2.17413866,-1916.669965,-0.06924038,-0.00663301,-0.1425681
3/6/2018,2.18963081,-2033.685889,-0.0795357,-0.00841759,-0.14994024
3/20/2018,2.28282401,-1846.828639,-0.0748244,-0.00701981,-0.13916241
4/3/2018,2.4326831,-1399.367752,-0.05384002,-0.00209172,-0.10455291
4/17/2018,2.6037199,-758.7327805,-0.01713688,0.00622883,-0.04817858
5/1/2018,2.7553435,-8.35399193,0.03218727,0.01717865,0.02093255
5/15/2018,2.85384954,762.377392,0.08854863,0.02949026,0.09045773
5/29/2018,2.88009989,1465.05657,0.14494552,0.0415655,0.1467483
6/12/2018,2.83301317,2023.085563,0.19386437,0.0516948,0.17672686
6/26/2018,2.72993729,2385.616774,0.22968873,0.05849216,0.17468617
7/10/2018,2.60232153,2530.334217,0.24890055,0.06111091,0.13904812
7/24/2018,2.48762781,2459.64565,0.25139501,0.05937814,0.07881665
8/7/2018,2.41817509,2203.015097,0.23926101,0.05375351,0.01077789
8/21/2018,2.41338641,1808.387525,0.21611235,0.04515847,-0.04606837
9/4/2018,2.47272992,1332.687063,0.18569268,0.03477106,-0.07603987
9/18/2018,2.57534712,839.2272777,0.15096074,0.02379422,-0.06927376
10/2/2018,2.68389769,384.6180018,0.11413682,0.01316835,-0.02292584
10/16/2018,2.75320175,12.34520889,0.07693595,0.00358021,0.05675505
10/30/2018,2.73638829,-252.247583,0.04118285,-0.0046457,0.1522843
11/13/2018,2.59835297,-403.9900752,0.00903022,-0.01152837,0.2416568
11/27/2018,2.32566771,-456.9681034,-0.01761826,-0.01735298,0.30967197
12/11/2018,1.93009003,-443.4278891,-0.03707239,-0.02241023,0.34522427
12/25/2018,1.44833505,-402.4410651,-0.04865384,-0.02687726,0.34211456
1/8/2019,0.9321858,-372.5406987,-0.05335318,-0.03076208,0.30280596
1/22/2019,0.43593123,-383.1617623,-0.0537459,-0.03389535,0.2374343
2/5/2019,0.01244171,-450.8505235,-0.05327471,-0.03588333,0.16127029
2/19/2019,-0.29733793,-569.184976,-0.05525265,-0.03620323,0.09364099
3/5/2019,-0.47937942,-713.964851,-0.06115376,-0.03425527,0.05090416
3/19/2019,-0.54473424,-846.5250688,-0.06966975,-0.02955606,0.04549203
4/2/2019,-0.52599983,-922.4801475,-0.07745256,-0.02190116,0.08172399
4/16/2019,-0.46828706,-902.1178196,-0.08032336,-0.01151296,0.15799523
